Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
23.0,45,1,0.3,1,0,0,0,1,1
21.0,159,3,1.9,3,315,0,0,1,0
40.0,169,2,2.1,1,122,0,0,1,0
29.0,112,2,1.4,1,0,0,0,1,0
36.0,93,1,4.3,1,0,0,0,1,0
25.0,29,1,0.3,3,140,0,0,0,0
23.0,85,1,2.67,2,0,0,0,1,0
24.0,21,4,0.6,1,0,0,0,1,1
29.0,144,2,6.8,1,0,0,0,1,0
10.0,13,4,1.0,1,95,1,0,1,0
24.0,165,1,5.0,1,0,0,0,0,1
31.0,9,4,0.7,1,89,0,0,1,0
3.0,59,4,0.0,1,90,1,0,1,0
11.0,158,1,5.1,3,0,0,1,1,1
6.0,29,1,1.9,3,0,0,0,1,1
9.0,20,2,1.4,3,0,0,0,1,1
3.0,68,4,2.0,2,0,0,0,1,0
34.0,65,4,2.2,1,0,0,0,1,0
31.0,61,2,1.9,2,105,0,0,0,0
12.0,91,4,1.4,2,100,0,0,0,1
25.0,31,1,1.0,1,0,1,0,1,0
10.0,71,4,0.1,2,0,0,0,0,0
16.0,73,4,2.67,1,0,0,0,1,1
39.0,172,4,3.1,1,282,0,1,1,1
26.0,20,2,0.0,1,0,0,0,0,0
18.0,55,1,0.2,1,0,0,0,0,0
22.0,69,2,1.7,1,209,0,0,0,0
33.0,155,1,7.4,1,0,0,0,1,0
28.0,94,1,1.9,2,0,0,0,0,0
14.0,92,2,0.0,1,249,0,0,1,1
3.0,125,2,0.6,1,0,0,0,0,0
14.0,74,3,3.0,1,0,0,0,0,0
20.0,72,3,0.3,3,0,0,0,1,0
30.0,61,1,2.2,3,0,0,0,1,1
6.0,25,2,0.3,1,0,0,0,0,1
19.0,83,2,1.7,2,0,0,0,1,0
2.0,104,3,2.5,1,0,0,0,0,0
25.0,41,3,1.0,3,0,0,0,1,0
27.0,58,4,1.8,3,91,0,0,0,0
13.0,93,1,1.5,3,0,0,0,0,1
23.0,148,2,7.5,1,0,0,1,1,1
22.0,53,4,1.9,3,98,1,1,0,1
24.0,71,2,1.7,1,145,0,0,0,1
22.0,92,1,2.8,2,0,0,0,1,0
10.0,61,4,2.1,3,0,0,0,1,0
19.0,38,3,2.5,2,135,0,0,0,0
37.0,58,4,1.7,1,0,0,0,1,0
1.0,80,1,0.8,2,150,0,0,0,0
8.0,71,4,1.8,3,0,0,0,1,0
18.0,89,3,0.5,3,0,0,0,1,1
38.0,83,1,1.8,3,0,0,0,1,0
32.0,28,3,0.2,1,0,0,0,1,1
3.0,52,4,1.7,2,0,0,0,0,0
26.0,70,1,1.2,1,169,0,0,0,0
22.0,71,1,1.4,3,0,0,0,0,1
16.0,75,1,3.7,3,280,0,0,0,0
39.0,170,3,7.9,3,99,0,1,1,0
17.0,78,4,0.8,1,78,0,0,1,0
11.0,25,2,1.0,2,0,0,0,0,0
14.0,60,2,0.6,3,0,0,0,1,1
29.0,120,4,2.7,2,111,1,1,1,0
29.0,99,2,1.4,1,264,0,0,1,1
1.0,55,3,2.6,3,113,0,0,0,1
6.0,29,3,1.0,2,117,0,0,0,0
28.0,170,2,6.2,2,325,0,0,1,0
40.0,53,3,2.2,1,0,0,0,0,1
21.0,138,1,0.0,1,0,0,0,0,0
41.0,134,3,3.9,3,121,0,0,1,0
40.0,42,2,0.7,3,138,0,0,0,1
0.0,99,4,2.3,3,0,0,0,0,1
41.0,18,3,0.5,1,0,0,0,0,1
9.0,24,4,0.3,1,0,0,0,1,0
30.0,55,1,1.4,1,77,0,0,1,0
27.0,58,1,0.0,1,0,0,0,0,1
16.0,111,2,1.2,3,251,0,0,1,0
23.0,33,1,0.3,3,0,0,1,1,1
1.0,74,4,1.8,2,112,0,0,1,1
19.0,38,2,0.7,1,0,0,0,0,0
23.0,23,4,0.6,3,98,1,0,0,0
38.0,61,2,1.5,1,0,0,0,1,0
22.0,81,1,2.9,1,138,0,0,0,0
39.0,129,1,2.5,1,0,0,0,1,0
13.0,33,1,0.75,3,0,0,0,0,0
36.0,63,4,2.2,1,0,0,0,1,0
14.0,70,4,1.4,2,0,0,0,1,0
3.0,45,4,0.2,1,158,0,0,1,1
16.0,65,3,0.5,3,0,0,0,1,0
5.0,74,4,2.2,1,0,1,0,0,1
24.0,50,4,1.8,3,0,1,0,0,0
5.0,22,4,0.5,3,109,0,0,1,0
2.0,30,4,1.0,3,0,0,0,0,0
26.0,21,4,1.0,1,0,0,0,1,0
14.0,155,2,3.9,1,0,0,0,1,0
8.0,64,4,2.1,3,164,0,0,1,0
31.0,65,4,2.6,3,0,0,0,0,1
9.0,71,4,0.7,3,0,0,0,1,0
36.0,40,3,0.5,2,0,1,0,1,0
19.0,69,3,0.5,3,0,0,0,1,0
13.0,69,3,2.33,2,0,0,0,0,0
25.0,45,3,0.6,2,131,0,0,1,0
12.0,62,3,0.7,2,0,0,0,0,1
19.0,172,2,4.3,3,391,1,1,1,0
15.0,24,3,1.0,2,0,0,0,1,1
25.0,80,1,4.9,1,0,0,0,0,0
16.0,8,3,0.67,2,88,0,0,1,0
5.0,38,4,0.8,1,129,0,0,1,1
19.0,93,4,2.6,3,0,0,0,0,0
9.0,55,1,2.0,1,0,0,0,1,0
34.0,64,2,1.7,3,0,0,0,0,1
9.0,122,1,0.0,1,0,0,0,1,0
25.0,70,3,1.4,3,0,0,0,1,0
19.0,81,2,3.2,1,0,0,0,0,0
15.0,159,1,5.5,3,0,0,1,1,0
9.0,70,4,1.3,1,0,1,0,0,0
39.0,150,2,6.9,1,196,0,0,0,0
21.0,152,2,7.5,1,0,0,0,1,0
25.0,195,4,3.0,1,617,0,0,0,0
23.0,22,1,0.1,1,0,0,0,0,0
35.0,22,1,1.3,1,123,0,0,1,0
29.0,79,3,0.8,1,0,0,0,1,1
18.0,33,1,1.4,3,0,0,0,1,0
8.0,128,2,4.33,1,0,0,1,1,1
38.0,91,1,3.8,1,0,1,0,1,0
32.0,39,4,0.9,1,0,0,0,1,1
26.0,121,1,7.3,1,167,0,0,1,0
6.0,21,1,0.67,3,0,1,0,1,0
9.0,41,3,2.3,1,0,0,0,0,1
37.0,45,2,0.7,3,0,0,0,1,0
31.0,165,1,1.6,2,0,0,0,1,0
16.0,119,2,4.2,2,0,0,0,1,0
2.0,110,4,1.8,3,190,0,0,1,0
39.0,20,3,0.7,2,0,0,0,0,1
34.0,64,1,0.8,2,248,0,0,0,0
20.0,101,3,4.4,2,82,0,0,0,0
39.0,101,1,3.9,1,0,1,1,1,0
34.0,99,1,4.4,1,0,0,0,0,0
30.0,158,4,6.1,1,0,0,0,0,0
28.0,89,1,1.9,2,0,0,0,1,1
27.0,80,1,1.3,3,0,0,1,1,1
32.0,114,2,2.0,1,402,0,0,1,0
35.0,49,3,0.5,2,0,0,0,1,1
4.0,191,1,6.33,1,0,0,0,1,0
30.0,78,4,1.0,2,0,0,0,1,0
6.0,28,3,1.0,1,0,0,0,0,0
33.0,42,1,0.8,2,0,0,0,1,0
38.0,140,1,2.5,1,0,0,0,0,0
23.0,45,1,1.3,2,0,0,0,1,0
32.0,122,2,0.3,1,360,0,1,1,1
12.0,65,3,2.6,2,0,0,0,1,0
27.0,68,1,1.4,3,0,0,0,1,0
3.0,153,2,2.0,1,392,0,0,0,0
13.0,89,4,1.4,2,0,0,0,0,0
34.0,91,1,2.6,1,0,0,0,1,1
6.0,55,4,2.0,2,185,0,0,1,0
19.0,118,2,3.3,1,0,0,0,0,1
5.0,22,1,0.67,3,103,0,0,0,0
24.0,63,3,1.4,3,138,0,0,1,1
27.0,12,4,0.5,2,78,1,0,1,0
19.0,50,3,2.7,2,0,0,0,1,0
0.0,43,2,1.6,3,0,1,1,1,1
15.0,173,4,6.6,1,0,0,1,1,1
2.0,60,2,3.0,1,132,0,0,0,0
14.0,113,1,1.0,3,0,1,0,1,0
4.0,155,4,5.3,2,0,0,0,1,0
28.0,91,4,1.0,2,0,0,0,0,1
29.0,55,4,1.1,2,0,0,0,1,0
20.0,173,2,1.4,1,419,0,0,1,0
19.0,71,3,0.3,3,0,0,0,0,1
30.0,24,2,0.4,3,88,0,0,0,0
14.0,42,1,2.0,2,81,0,0,1,0
6.0,141,2,4.33,1,0,0,0,1,0
6.0,32,1,1.9,3,0,0,0,1,0
10.0,55,4,1.3,1,0,0,0,0,0
19.0,153,2,7.5,1,0,0,0,1,0
32.0,113,2,1.4,1,270,0,0,0,1
0.0,30,2,1.7,2,0,0,0,0,0
24.0,29,3,1.0,3,148,0,0,0,1
32.0,174,1,6.8,2,466,0,0,1,0
24.0,35,1,0.3,3,0,0,0,1,0
8.0,98,2,2.0,2,175,0,0,1,0
37.0,30,2,1.0,3,159,0,0,1,0
6.0,58,2,2.5,1,0,0,0,0,1
12.0,25,4,1.0,1,147,0,0,0,0
34.0,19,4,0.7,1,0,0,0,0,0
30.0,44,4,0.7,2,174,0,0,1,0
25.0,20,4,1.0,1,111,0,0,1,1
5.0,98,2,3.1,1,220,0,0,1,0
7.0,90,3,1.6,1,0,0,0,1,0
21.0,61,3,0.7,1,0,0,0,0,0
5.0,40,4,2.0,2,0,0,0,1,0
23.0,38,2,2.1,3,0,0,0,0,0
0.0,28,2,1.7,2,0,0,0,0,0
33.0,34,1,1.5,3,0,0,0,1,1
29.0,73,2,2.3,3,0,0,0,1,1
41.0,133,4,2.0,1,0,0,0,0,1
18.0,53,1,0.2,1,0,0,0,1,0
25.0,21,4,0.6,3,0,0,0,1,1
9.0,40,3,0.9,1,0,0,0,1,0
5.0,41,4,1.7,2,0,0,0,1,0
5.0,82,4,1.8,2,0,0,0,1,0
30.0,100,4,3.4,3,0,0,0,0,0
20.0,155,1,7.0,1,0,0,0,1,1
19.0,45,1,0.2,1,0,0,0,1,0
32.0,9,3,0.3,3,0,0,0,0,1
29.0,48,4,1.8,3,0,0,0,1,0
28.0,18,4,0.1,3,109,1,1,1,1
9.0,80,4,3.4,1,0,0,0,1,1
35.0,64,2,2.8,1,0,0,0,0,0
24.0,29,4,0.1,1,0,0,0,0,0
2.0,48,3,0.7,2,0,0,0,1,0
30.0,23,2,0.4,1,0,0,0,0,0
3.0,84,4,0.2,1,0,0,0,1,1
10.0,179,3,6.6,1,0,0,0,1,0
2.0,30,4,1.5,2,112,0,0,0,1
28.0,93,1,4.9,1,133,0,1,1,1
30.0,39,2,1.9,2,0,0,0,0,0
36.0,60,3,0.5,2,182,0,0,0,0
11.0,133,1,3.8,1,290,1,1,1,1
19.0,125,1,2.4,1,0,0,0,0,0
40.0,58,1,1.8,3,0,0,0,1,0
36.0,89,2,2.8,1,0,0,0,1,0
22.0,82,1,2.67,2,125,0,0,1,0
23.0,110,2,3.3,1,0,0,0,1,1
36.0,54,4,2.3,3,0,1,0,0,0
20.0,89,4,1.9,3,0,0,0,1,0
7.0,42,3,2.3,1,0,0,0,1,0
28.0,41,3,1.9,2,0,0,0,0,1
8.0,38,4,1.0,2,124,0,0,1,0
15.0,85,2,0.4,1,0,0,0,1,0
29.0,83,4,1.0,2,0,0,0,1,0
0.0,33,4,1.0,3,0,0,0,0,0
33.0,50,4,2.1,1,0,0,0,0,1
22.0,58,4,3.6,3,0,0,0,1,1
3.0,115,4,3.1,2,0,0,0,0,0
20.0,145,2,6.3,1,0,1,1,1,0
19.0,161,2,7.5,1,0,0,0,0,0
30.0,38,1,0.2,1,0,0,0,0,0
3.0,28,4,0.8,1,0,0,0,1,0
18.0,75,3,2.33,1,0,0,0,0,1
7.0,35,3,1.3,1,116,0,0,0,1
38.0,24,2,1.0,1,116,0,0,0,1
13.0,78,4,0.1,2,0,0,0,1,0
26.0,113,1,1.3,3,161,0,0,1,0
13.0,75,3,2.1,1,224,0,0,1,0
17.0,91,1,5.7,1,0,0,0,1,0
28.0,31,4,0.2,1,141,0,0,1,1
6.0,45,1,1.8,2,0,0,0,1,0
26.0,80,3,0.8,1,0,0,0,0,0
35.0,50,3,1.4,3,112,0,0,1,0
9.0,31,4,1.0,2,0,1,0,1,0
32.0,113,2,3.8,2,119,0,1,1,1
23.0,29,4,0.6,1,0,0,0,1,0
39.0,59,2,1.5,1,139,0,0,1,0
27.0,43,1,1.3,2,0,1,0,1,0
28.0,122,1,3.0,3,115,0,0,1,0
24.0,29,1,1.0,1,0,0,0,0,0
40.0,91,2,0.0,3,0,0,0,1,1
32.0,65,3,2.2,3,0,0,0,1,0
23.0,22,1,1.0,1,0,0,0,0,1
23.0,71,1,1.4,3,0,0,0,0,0
4.0,60,4,2.0,2,0,0,0,1,1
37.0,60,3,2.0,3,0,0,0,1,0
25.0,69,1,0.3,1,0,0,0,1,1
13.0,21,3,0.2,2,0,0,0,0,0
28.0,53,4,2.8,2,0,1,0,0,0
24.0,29,3,0.9,3,0,0,0,0,0
4.0,60,4,2.2,2,0,0,0,1,0
39.0,42,3,0.5,2,116,0,0,1,0
3.0,69,3,0.3,3,0,0,0,0,0
24.0,20,1,1.0,1,0,0,0,1,1
10.0,200,2,3.0,1,458,0,0,0,0
36.0,141,2,2.1,1,0,0,0,1,1
30.0,81,2,3.7,1,0,1,0,0,0
4.0,183,3,8.3,3,0,0,0,1,0
22.0,149,2,5.5,2,0,1,1,1,0
19.0,83,4,3.6,3,0,0,0,0,1
42.0,35,1,1.9,2,172,0,0,1,0
0.0,13,2,0.9,3,0,0,0,1,0
20.0,39,1,2.4,1,0,0,0,0,1
10.0,21,1,0.5,3,0,0,0,1,0
23.0,10,2,0.7,3,0,0,0,1,1
6.0,84,4,1.8,2,0,0,0,0,0
24.0,30,4,0.1,1,161,0,0,1,1
19.0,31,4,0.3,1,156,0,0,1,0
39.0,182,1,1.2,2,547,0,0,1,0
34.0,114,2,6.9,1,0,0,0,1,0
19.0,152,3,6.1,2,0,0,0,0,0
34.0,53,1,0.8,2,0,1,0,0,1
39.0,24,4,0.4,2,78,0,0,1,0
20.0,150,2,3.3,1,0,0,0,0,1
36.0,132,2,6.0,1,470,0,0,1,1
29.0,68,3,1.6,3,0,0,0,1,1
9.0,53,1,1.2,1,0,0,0,0,1
32.0,173,1,4.6,2,88,0,1,1,0
5.0,30,3,1.0,2,0,0,0,0,0
1.0,113,2,0.2,1,0,0,0,1,1
34.0,15,1,0.8,2,0,0,0,1,0
30.0,84,2,3.7,1,304,1,0,1,0
13.0,88,4,1.4,2,0,0,0,1,1
13.0,43,3,2.8,1,0,0,0,1,0
28.0,43,2,2.1,3,0,0,1,1,1
10.0,90,2,2.7,1,0,0,0,1,0
18.0,34,4,0.3,1,104,1,0,1,0
36.0,38,4,1.3,1,0,0,0,1,0
24.0,173,1,1.0,1,0,0,0,1,1
17.0,160,2,8.0,1,0,0,0,1,0
0.0,44,4,0.6,2,0,0,0,1,1
24.0,83,2,0.4,3,0,0,0,1,0
22.0,94,4,2.6,3,0,0,0,1,0
8.0,43,1,2.1,3,0,0,0,0,1
25.0,42,3,1.7,2,0,0,0,1,0
33.0,34,2,0.3,1,0,0,0,0,0
26.0,39,3,1.9,2,0,0,0,1,0
19.0,70,1,0.1,2,0,0,0,0,0
5.0,39,4,1.8,3,185,0,0,0,1
10.0,44,3,2.0,3,0,0,0,1,0
12.0,69,3,3.1,2,0,0,0,1,0
25.0,44,3,0.9,3,0,0,0,0,0
40.0,32,3,0.1,3,0,0,0,1,0
22.0,15,2,0.7,3,0,0,0,0,0
28.0,118,2,6.8,1,112,0,0,1,0
26.0,62,1,1.3,2,221,0,0,1,0
5.0,82,4,2.2,2,0,0,0,0,0
14.0,54,3,3.0,1,108,0,0,0,1
6.0,48,1,2.1,3,0,0,0,0,0
1.0,74,3,0.3,3,0,0,0,1,0
16.0,113,1,1.0,3,211,0,0,0,1
27.0,81,3,1.7,2,0,0,0,0,0
27.0,43,3,1.0,2,169,0,0,0,0
4.0,34,1,1.8,2,0,0,0,1,0
9.0,48,1,2.5,3,105,0,0,1,0
37.0,54,4,1.2,2,129,0,0,1,1
24.0,75,4,1.4,2,0,0,0,1,0
11.0,72,1,2.8,1,224,0,0,0,0
31.0,39,4,0.9,1,0,0,0,0,0
38.0,79,2,2.8,1,179,0,0,0,0
2.0,205,1,6.33,1,271,0,0,0,1
8.0,65,2,0.1,1,89,0,0,1,0
39.0,122,4,0.2,1,378,0,0,1,0
15.0,82,1,0.8,2,0,0,0,1,0
30.0,21,2,0.2,1,0,0,0,0,1
6.0,50,4,2.1,3,0,1,1,1,1
37.0,39,2,2.8,1,113,0,1,1,1
2.0,101,1,1.9,1,0,0,0,0,0
28.0,41,2,0.6,3,0,1,0,0,0
25.0,132,1,0.3,1,0,0,0,1,0
20.0,131,1,4.9,3,0,0,0,1,0
5.0,11,1,0.4,2,76,0,0,0,1
32.0,21,1,0.3,3,117,0,0,0,0
6.0,141,2,4.33,1,0,0,0,0,0
14.0,81,3,0.1,1,0,0,0,1,0
38.0,54,3,2.4,1,90,0,0,0,1
10.0,164,2,7.8,1,0,0,0,1,0
19.0,28,4,0.3,1,87,0,0,0,0
2.0,68,3,2.6,3,203,1,0,0,0
14.0,44,3,2.0,3,180,1,1,1,1
23.0,61,1,1.4,3,0,0,0,1,1
36.0,35,3,1.3,2,0,0,0,0,1
34.0,54,3,0.3,2,0,0,0,1,1
34.0,14,1,0.1,1,0,0,0,1,1
3.0,52,4,2.2,1,230,0,0,1,0
28.0,101,2,0.3,1,0,0,0,0,0
2.0,149,2,7.2,1,0,0,0,1,0
8.0,35,4,0.8,1,137,0,1,1,1
34.0,21,3,0.3,3,129,0,0,1,0
15.0,118,2,1.9,1,0,0,0,0,1
5.0,38,4,2.0,2,0,1,0,0,0
25.0,24,4,0.2,1,138,0,0,1,0
18.0,59,1,3.7,3,0,0,0,1,0
33.0,41,4,1.67,3,0,0,0,1,0
3.0,85,1,0.8,2,0,0,0,1,1
27.0,12,4,1.0,1,0,0,0,1,0
7.0,32,1,0.6,3,152,0,0,0,0
29.0,79,3,0.8,1,0,0,0,1,0
28.0,175,3,3.6,3,0,0,1,1,1
8.0,28,3,0.9,1,0,0,0,0,0
9.0,41,2,0.1,1,161,0,0,1,1
14.0,70,3,2.1,1,185,0,0,0,0
25.0,161,3,6.5,2,485,1,1,0,0
9.0,53,4,2.2,2,0,0,0,1,0
15.0,128,1,3.4,1,0,0,0,0,0
28.0,50,3,1.0,2,0,0,0,1,1
5.0,80,2,2.0,2,0,0,0,1,1
30.0,93,1,2.7,2,0,0,0,1,0
28.0,149,2,6.8,1,0,0,0,1,0
19.0,49,3,2.5,2,0,0,0,1,1
33.0,88,1,2.7,2,0,0,0,1,0
22.0,22,4,0.4,3,0,0,0,1,1
3.0,55,4,2.2,1,0,0,0,1,1
18.0,72,1,0.7,3,155,0,0,0,0
16.0,114,1,3.4,1,300,0,0,1,0
4.0,83,4,4.0,3,0,0,0,1,0
14.0,101,2,0.4,1,0,0,0,1,1
24.0,94,1,4.9,1,272,0,0,1,0
