percent_paid,days,income,3-6_months,6-12_months,more_than_12_months,writing_score,paid_premiums,channel,area
0.013000000000000001,33960.0,1.0,0.0,0.0,0.0,99.89,3.0,0,0
0.0,22635.0,3.0,0.0,0.0,0.0,99.09,11.0,1,0
0.043,14974.0,1.0,0.0,0.0,0.0,97.85,11.0,0,1
0.016,16798.0,1.0,0.0,0.0,0.0,99.18,13.0,3,1
0.316,21915.0,2.0,0.0,0.0,0.0,98.91,8.0,0,1
0.292,16075.0,1.0,0.0,0.0,0.0,99.03,11.0,2,1
0.069,13878.0,4.0,0.0,0.0,0.0,99.5,13.0,3,1
0.5429999999999999,13154.0,1.0,0.0,0.0,0.0,98.19,10.0,2,1
0.659,16440.0,2.0,0.0,0.0,0.0,99.13,12.0,3,1
0.023,25194.0,4.0,1.0,0.0,0.0,99.1,16.0,1,0
0.317,12420.0,2.0,0.0,0.0,0.0,98.93,21.0,0,0
0.376,14610.0,2.0,0.0,0.0,0.0,98.94,12.0,3,0
0.0,20810.0,2.0,0.0,0.0,0.0,99.16499999999999,5.0,0,1
0.0,13875.0,2.0,0.0,0.0,0.0,98.47,10.0,1,1
0.971,9870.0,1.0,1.0,1.0,0.0,99.17,8.0,0,1
0.024,20454.0,2.0,0.0,0.0,0.0,98.43,11.0,2,0
0.368,21905.0,5.0,0.0,0.0,0.0,99.35,12.0,0,0
0.39899999999999997,22277.0,3.0,1.0,0.0,0.0,98.9,14.0,0,0
0.067,14970.0,4.0,0.0,0.0,2.0,99.25,9.0,1,0
0.001,21175.0,3.0,0.0,0.0,0.0,99.33,12.0,0,0
0.5539999999999999,17894.0,4.0,0.0,1.0,0.0,98.55,15.0,1,0
0.48,26658.0,6.0,0.0,0.0,0.0,98.89,20.0,1,1
0.225,22272.0,2.0,0.0,0.0,0.0,98.43,9.0,1,1
0.0,17896.0,3.0,0.0,0.0,0.0,98.83,11.0,1,1
0.075,23368.0,2.0,0.0,0.0,0.0,99.34,10.0,0,1
0.41200000000000003,9495.0,2.0,0.0,0.0,0.0,99.7,6.0,1,1
0.8420000000000001,18987.0,4.0,1.0,0.0,0.0,98.63,12.0,1,0
0.332,18989.0,4.0,0.0,0.0,0.0,99.64,7.0,2,1
0.266,18259.0,2.0,1.0,0.0,0.0,99.375,3.0,0,1
0.0,8044.0,1.0,0.0,0.0,0.0,99.275,4.0,0,1
0.19399999999999998,16072.0,5.0,1.0,0.0,0.0,99.3,18.0,0,1
0.109,20085.0,1.0,1.0,0.0,0.0,98.12,17.0,2,0
0.585,16804.0,1.0,0.0,0.0,0.0,98.37,5.0,1,1
1.0,16065.0,4.0,0.0,0.0,0.0,99.77,2.0,3,1
0.568,20811.0,2.0,0.0,0.0,0.0,98.07,9.0,0,0
0.6709999999999999,13514.0,2.0,1.0,0.0,0.0,98.9,6.0,0,0
0.327,21550.0,1.0,1.0,0.0,0.0,97.42,22.0,0,1
0.997,13877.0,3.0,1.0,1.0,2.0,99.01,10.0,2,0
0.589,19716.0,3.0,1.0,0.0,0.0,98.86,12.0,2,0
0.004,15708.0,3.0,0.0,0.0,0.0,99.64,12.0,2,0
0.07,25200.0,1.0,0.0,0.0,0.0,98.14,14.0,0,1
0.052000000000000005,10961.0,2.0,0.0,0.0,0.0,99.83,12.0,2,0
0.034,23733.0,3.0,0.0,0.0,0.0,99.7,7.0,2,1
0.046,15706.0,1.0,0.0,0.0,0.0,99.56,11.0,0,1
0.163,22276.0,6.0,0.0,0.0,0.0,99.66,12.0,0,0
0.39799999999999996,20086.0,4.0,0.0,0.0,0.0,99.63,8.0,1,1
0.055999999999999994,19350.0,1.0,0.0,0.0,0.0,99.78,9.0,0,1
0.725,26295.0,3.0,0.0,0.0,0.0,98.6,14.0,0,1
0.966,28119.0,2.0,0.0,0.0,0.0,98.57,28.0,1,1
0.0,11695.0,2.0,0.0,0.0,0.0,98.34,10.0,1,1
0.0,15707.0,1.0,0.0,0.0,0.0,99.79,7.0,1,0
0.738,13148.0,1.0,0.0,0.0,0.0,98.76,17.0,0,0
0.452,21177.0,1.0,0.0,0.0,0.0,98.92,12.0,0,1
0.033,13877.0,2.0,0.0,0.0,0.0,99.41,8.0,1,1
0.503,18257.0,2.0,3.0,0.0,0.0,99.74,13.0,0,1
0.465,17168.0,3.0,1.0,3.0,0.0,99.62,8.0,0,1
0.133,21178.0,2.0,0.0,0.0,0.0,99.3,8.0,0,1
0.5379999999999999,14971.0,2.0,0.0,0.0,0.0,99.59,5.0,0,1
0.012,22641.0,3.0,0.0,0.0,0.0,99.64,8.0,2,1
0.47600000000000003,8769.0,1.0,0.0,0.0,0.0,99.83,4.0,0,1
0.027999999999999997,22278.0,2.0,0.0,0.0,0.0,99.1,6.0,0,0
0.19699999999999998,22271.0,2.0,0.0,0.0,0.0,99.31,9.0,0,1
0.196,23006.0,4.0,0.0,0.0,0.0,99.36,11.0,0,1
1.0,9139.0,1.0,0.0,1.0,0.0,99.22,6.0,0,1
0.003,19717.0,2.0,0.0,0.0,0.0,99.39,7.0,3,1
0.914,20089.0,2.0,2.0,0.0,0.0,97.87,19.0,1,1
0.4,19350.0,5.0,0.0,0.0,0.0,98.88,12.0,2,1
1.0,18627.0,2.0,1.0,0.0,0.0,99.86,4.0,3,0
0.027000000000000003,19721.0,3.0,0.0,0.0,0.0,99.89,7.0,1,0
0.064,18992.0,2.0,1.0,0.0,0.0,99.88,6.0,1,0
0.0,17163.0,2.0,1.0,0.0,0.0,98.9,8.0,2,0
0.005,25920.0,1.0,0.0,0.0,0.0,99.54,13.0,0,1
0.914,17526.0,1.0,1.0,0.0,0.0,98.92,9.0,0,0
0.0,16073.0,3.0,0.0,0.0,0.0,99.77,17.0,0,0
0.031,20818.0,3.0,0.0,0.0,0.0,99.19,10.0,0,1
0.0,17161.0,2.0,0.0,0.0,0.0,99.0,8.0,2,1
0.012,23001.0,3.0,0.0,0.0,0.0,99.52,15.0,1,0
0.342,14242.0,4.0,0.0,0.0,0.0,98.64,10.0,3,1
0.008,23009.0,1.0,0.0,0.0,0.0,99.89,9.0,0,1
0.25,26650.0,1.0,1.0,0.0,0.0,95.47,13.0,0,0
0.49700000000000005,18626.0,3.0,0.0,0.0,0.0,99.32,12.0,1,1
0.02,20816.0,5.0,0.0,0.0,0.0,99.58,14.0,0,0
0.0,15336.0,4.0,1.0,0.0,0.0,99.22,17.0,3,0
0.113,18628.0,6.0,0.0,0.0,0.0,99.26,22.0,2,1
0.7170000000000001,13511.0,3.0,0.0,0.0,0.0,99.08,10.0,1,1
0.016,14979.0,4.0,1.0,0.0,0.0,98.86,20.0,3,0
0.57,12421.0,2.0,0.0,0.0,0.0,99.65,6.0,0,0
0.428,22640.0,6.0,0.0,0.0,0.0,99.27,15.0,0,1
1.0,15336.0,2.0,0.0,0.0,0.0,98.76,6.0,0,1
0.040999999999999995,16072.0,3.0,0.0,0.0,0.0,99.11,11.0,2,1
0.374,12421.0,2.0,1.0,0.0,0.0,99.53,11.0,1,1
0.031,21545.0,1.0,0.0,0.0,0.0,98.92,9.0,0,1
0.0,26656.0,4.0,0.0,0.0,0.0,99.66,10.0,0,1
0.10800000000000001,23365.0,6.0,0.0,0.0,0.0,98.62,12.0,0,1
0.11900000000000001,19359.0,3.0,0.0,0.0,0.0,98.71,8.0,1,0
0.154,23369.0,2.0,0.0,0.0,0.0,98.79,15.0,0,0
0.7979999999999999,26656.0,1.0,0.0,0.0,0.0,97.56,16.0,0,1
0.7140000000000001,18994.0,1.0,1.0,0.0,0.0,96.88,14.0,3,1
0.474,11323.0,1.0,0.0,0.0,0.0,98.49,7.0,1,1
0.745,17893.0,2.0,0.0,0.0,0.0,96.88,5.0,0,1
0.013999999999999999,18985.0,2.0,0.0,0.0,0.0,98.82,7.0,1,1
0.6859999999999999,14974.0,4.0,0.0,0.0,0.0,98.86,15.0,1,1
0.723,18988.0,2.0,0.0,0.0,0.0,98.76,5.0,2,0
0.42,14605.0,2.0,1.0,0.0,0.0,98.47,11.0,2,1
0.0,18257.0,3.0,0.0,0.0,0.0,98.52,10.0,1,1
0.682,13519.0,2.0,0.0,0.0,0.0,98.89,12.0,3,1
0.664,13512.0,4.0,0.0,0.0,0.0,98.72,14.0,0,1
0.17600000000000002,13877.0,1.0,0.0,0.0,0.0,98.66,19.0,0,1
0.501,14972.0,3.0,0.0,0.0,0.0,99.02,13.0,2,0
0.0,16065.0,1.0,0.0,0.0,0.0,99.81,4.0,2,1
1.0,15336.0,3.0,0.0,0.0,0.0,99.28,2.0,0,1
0.24600000000000002,26294.0,2.0,0.0,0.0,0.0,99.87,5.0,0,1
0.597,15340.0,1.0,1.0,0.0,0.0,99.8,4.0,2,0
0.059000000000000004,19719.0,2.0,0.0,0.0,0.0,99.23,12.0,2,1
0.165,23001.0,2.0,0.0,0.0,0.0,99.25,9.0,2,1
0.5589999999999999,13883.0,6.0,1.0,0.0,0.0,99.1,11.0,1,1
0.341,16072.0,1.0,0.0,0.0,0.0,99.27,8.0,0,1
0.941,10233.0,2.0,0.0,0.0,0.0,99.16,9.0,2,1
0.018000000000000002,25925.0,4.0,0.0,0.0,0.0,99.89,11.0,0,1
0.111,18255.0,2.0,0.0,0.0,0.0,99.74,9.0,2,0
0.155,16439.0,4.0,0.0,0.0,0.0,99.39,8.0,3,0
0.358,17528.0,3.0,1.0,0.0,0.0,98.83,17.0,1,0
0.005,31033.0,1.0,0.0,0.0,0.0,99.86500000000001,12.0,0,0
0.002,21178.0,3.0,0.0,1.0,0.0,99.39,25.0,0,1
0.18,29578.0,1.0,0.0,0.0,0.0,98.86,15.0,0,1
0.44,8771.0,1.0,0.0,0.0,0.0,99.84,5.0,0,0
0.03,18989.0,1.0,0.0,0.0,0.0,99.43,6.0,0,1
0.154,18260.0,6.0,0.0,0.0,0.0,99.36,17.0,2,0
0.522,23736.0,3.0,0.0,0.0,0.0,98.63,11.0,1,0
0.032,26657.0,2.0,0.0,0.0,0.0,99.37,12.0,0,0
0.7,12780.0,1.0,0.0,0.0,0.0,99.09,9.0,0,0
0.382,18262.0,2.0,0.0,0.0,0.0,99.19,10.0,0,1
0.042,32125.0,2.0,0.0,0.0,0.0,99.59,6.0,0,1
0.9840000000000001,13883.0,1.0,0.0,0.0,0.0,98.42,6.0,0,1
0.321,20448.0,1.0,1.0,0.0,0.0,97.77,12.0,0,1
0.057,22638.0,1.0,0.0,0.0,0.0,99.42,10.0,2,0
0.349,17530.0,3.0,0.0,0.0,0.0,99.81,4.0,0,1
0.498,18263.0,1.0,0.0,0.0,0.0,96.7,8.0,0,0
0.7040000000000001,20081.0,2.0,0.0,0.0,0.0,99.56,6.0,0,1
0.076,9864.0,2.0,0.0,0.0,0.0,98.44,10.0,0,1
0.0,18258.0,2.0,0.0,0.0,0.0,99.7,6.0,0,1
0.021,18985.0,1.0,0.0,0.0,0.0,98.59,7.0,0,1
0.515,22636.0,2.0,0.0,0.0,0.0,99.67,8.0,1,1
1.0,16072.0,2.0,0.0,4.0,1.0,98.86,6.0,1,1
0.09300000000000001,21546.0,4.0,1.0,0.0,0.0,99.0,18.0,0,0
0.001,20085.0,3.0,2.0,0.0,0.0,99.25,19.0,1,1
0.02,29213.0,2.0,0.0,0.0,0.0,99.88,9.0,0,1
0.028999999999999998,24830.0,1.0,0.0,0.0,0.0,98.84,8.0,1,0
0.15,23004.0,1.0,0.0,0.0,0.0,99.0,14.0,0,1
0.0,8045.0,1.0,0.0,0.0,0.0,99.875,4.0,0,0
0.662,15705.0,1.0,1.0,0.0,0.0,98.78,9.0,2,1
0.066,8768.0,1.0,0.0,0.0,0.0,99.83,4.0,0,1
0.43799999999999994,13518.0,2.0,0.0,0.0,0.0,99.77,12.0,0,1
0.01,15702.0,2.0,0.0,0.0,0.0,99.37,10.0,2,1
0.102,17168.0,6.0,0.0,0.0,0.0,99.43,15.0,3,1
0.005,19716.0,4.0,0.0,0.0,0.0,98.93,11.0,1,0
0.027000000000000003,18991.0,4.0,0.0,0.0,0.0,99.3,12.0,3,1
0.7829999999999999,22637.0,1.0,0.0,0.0,0.0,98.95,10.0,0,1
0.008,21906.0,3.0,0.0,0.0,0.0,99.32,7.0,0,0
0.019,28476.0,1.0,0.0,0.0,0.0,99.84,11.0,0,1
0.245,13880.0,3.0,0.0,0.0,0.0,99.47,9.0,0,1
0.11199999999999999,21176.0,3.0,0.0,0.0,0.0,99.07,8.0,0,1
0.022000000000000002,26650.0,5.0,0.0,0.0,0.0,99.49,30.0,2,0
0.501,20447.0,6.0,0.0,0.0,0.0,99.26,24.0,1,0
0.162,13882.0,6.0,0.0,0.0,0.0,99.54,20.0,0,0
0.95,17893.0,3.0,1.0,0.0,0.0,98.71,18.0,0,0
0.13,18255.0,3.0,0.0,0.0,0.0,97.75,11.0,1,1
0.0,13516.0,2.0,0.0,0.0,0.0,97.57,9.0,3,1
0.003,19356.0,5.0,0.0,0.0,0.0,99.39,21.0,3,1
0.016,28478.0,1.0,0.0,0.0,0.0,99.89,7.0,0,0
0.33399999999999996,19356.0,6.0,0.0,0.0,0.0,98.93,23.0,1,1
0.38,16437.0,3.0,0.0,0.0,0.0,98.93,17.0,0,1
0.145,19359.0,4.0,0.0,0.0,0.0,99.36,14.0,0,0
0.226,22275.0,6.0,0.0,0.0,0.0,98.31,16.0,0,0
0.17800000000000002,15700.0,2.0,0.0,0.0,0.0,98.22,15.0,0,0
0.622,13511.0,1.0,0.0,0.0,0.0,99.2,7.0,0,0
0.38299999999999995,23002.0,2.0,0.0,0.0,0.0,99.13,5.0,0,1
0.012,28110.0,1.0,0.0,0.0,0.0,99.845,3.0,0,1
0.11800000000000001,26293.0,2.0,1.0,0.0,0.0,99.43,9.0,2,1
0.09300000000000001,29579.0,1.0,0.0,0.0,0.0,98.82,10.0,0,0
0.929,19350.0,2.0,0.0,1.0,0.0,98.93,9.0,0,0
0.0,12425.0,5.0,0.0,0.0,0.0,99.44,11.0,1,1
0.909,10958.0,2.0,0.0,0.0,0.0,99.13,10.0,0,0
0.04,18994.0,1.0,0.0,0.0,0.0,98.42,9.0,0,1
0.259,19356.0,2.0,0.0,0.0,0.0,99.56,12.0,0,0
0.006999999999999999,25924.0,3.0,0.0,0.0,0.0,99.53,14.0,1,0
0.304,23366.0,1.0,0.0,0.0,0.0,97.37,6.0,0,0
0.005,20454.0,2.0,0.0,0.0,0.0,99.29,16.0,0,1
0.41100000000000003,10598.0,1.0,0.0,0.0,0.0,99.12,14.0,0,0
0.312,15341.0,2.0,0.0,0.0,0.0,99.11,6.0,0,1
0.021,28477.0,2.0,0.0,0.0,0.0,98.7,11.0,1,1
0.337,14607.0,1.0,0.0,1.0,0.0,97.4,14.0,1,1
0.06,18257.0,1.0,0.0,0.0,0.0,98.75,8.0,0,0
0.478,28120.0,2.0,0.0,0.0,0.0,99.25,14.0,0,1
0.09699999999999999,10958.0,2.0,0.0,0.0,0.0,99.62,9.0,3,0
0.02,20086.0,3.0,0.0,0.0,0.0,98.99,33.0,2,0
0.354,24098.0,2.0,0.0,0.0,0.0,98.34,19.0,0,0
0.963,9134.0,1.0,2.0,0.0,0.0,99.19,12.0,0,1
0.040999999999999995,19359.0,3.0,0.0,0.0,0.0,99.38,6.0,0,1
0.3,20451.0,3.0,0.0,0.0,0.0,99.86,3.0,0,0
0.138,25190.0,3.0,0.0,0.0,0.0,98.9,13.0,0,1
0.018000000000000002,22637.0,3.0,0.0,0.0,0.0,99.54,17.0,0,1
0.389,14980.0,3.0,0.0,0.0,0.0,98.95,13.0,3,1
0.085,18628.0,2.0,0.0,0.0,0.0,98.7,6.0,1,1
0.066,16435.0,4.0,0.0,0.0,0.0,99.21,6.0,2,1
0.067,18265.0,1.0,0.0,0.0,0.0,98.07,8.0,1,1
0.8059999999999999,32865.0,1.0,0.0,0.0,0.0,98.59,10.0,0,0
0.009000000000000001,18261.0,3.0,1.0,0.0,0.0,98.88,23.0,0,0
0.076,23009.0,3.0,0.0,0.0,0.0,99.17,9.0,0,1
0.033,23367.0,2.0,0.0,0.0,0.0,99.56,13.0,0,1
0.0,20083.0,6.0,0.0,0.0,0.0,99.32,12.0,0,1
0.608,23374.0,3.0,0.0,0.0,0.0,98.38,11.0,0,1
0.036000000000000004,21912.0,6.0,0.0,0.0,0.0,99.88,22.0,0,0
0.053,28118.0,1.0,0.0,0.0,0.0,99.83,9.0,0,0
0.034,12058.0,3.0,0.0,0.0,0.0,99.88,7.0,2,0
0.44299999999999995,15339.0,3.0,0.0,0.0,0.0,99.29,9.0,1,1
0.065,14244.0,4.0,0.0,0.0,0.0,99.32,7.0,3,1
0.0,17526.0,4.0,0.0,0.0,0.0,99.11,11.0,3,1
0.7959999999999999,17531.0,6.0,1.0,2.0,0.0,99.71,11.0,1,1
0.985,20450.0,4.0,1.0,0.0,1.0,99.71,13.0,0,1
1.0,18259.0,5.0,1.0,0.0,0.0,99.43,6.0,0,1
0.23800000000000002,23737.0,6.0,0.0,0.0,0.0,99.59,19.0,0,1
1.0,10959.0,1.0,1.0,0.0,0.0,99.56,3.0,0,1
0.667,18630.0,2.0,1.0,0.0,0.0,98.65,13.0,0,1
0.9009999999999999,12057.0,1.0,0.0,0.0,0.0,99.58,5.0,0,1
0.37,21181.0,3.0,1.0,0.0,0.0,99.18,22.0,0,1
0.49,18264.0,3.0,0.0,0.0,0.0,98.86,16.0,3,1
0.652,24830.0,4.0,0.0,0.0,0.0,97.8,20.0,0,1
0.004,23740.0,4.0,0.0,0.0,0.0,99.69,18.0,0,1
0.377,25558.0,4.0,0.0,0.0,0.0,99.22,18.0,2,1
0.163,17160.0,2.0,0.0,0.0,0.0,98.78,29.0,1,0
0.902,18620.0,2.0,0.0,0.0,0.0,97.2,21.0,2,1
0.544,18258.0,3.0,2.0,3.0,1.0,98.75,10.0,2,1
0.6759999999999999,12418.0,3.0,2.0,0.0,0.0,99.62,17.0,1,0
1.0,17893.0,3.0,0.0,0.0,0.0,97.09,12.0,0,1
0.555,19353.0,4.0,2.0,1.0,2.0,99.06,11.0,1,0
0.09699999999999999,18264.0,3.0,0.0,0.0,0.0,99.31,13.0,0,1
0.013000000000000001,25559.0,2.0,0.0,0.0,0.0,99.89,19.0,0,1
0.9359999999999999,16075.0,2.0,0.0,0.0,0.0,99.54,5.0,1,1
0.9,13515.0,2.0,0.0,0.0,0.0,98.75,12.0,3,1
0.021,18624.0,2.0,0.0,0.0,0.0,99.47,12.0,2,1
0.897,18991.0,1.0,0.0,0.0,0.0,98.09,13.0,0,1
0.0,19355.0,3.0,0.0,0.0,0.0,99.36,10.0,2,0
0.878,12424.0,3.0,1.0,3.0,0.0,99.86,4.0,2,1
0.025,16432.0,3.0,1.0,0.0,0.0,99.36,12.0,3,1
0.981,18992.0,1.0,0.0,0.0,0.0,96.76,8.0,0,1
0.41700000000000004,18624.0,3.0,0.0,0.0,0.0,98.46,12.0,0,1
0.022000000000000002,14240.0,1.0,0.0,0.0,0.0,98.92,5.0,1,0
0.0,20082.0,2.0,0.0,0.0,0.0,99.16,8.0,0,1
0.6759999999999999,20812.0,5.0,2.0,0.0,0.0,99.19,10.0,0,1
0.723,19724.0,5.0,0.0,0.0,0.0,99.3,15.0,3,1
0.054000000000000006,17534.0,3.0,0.0,0.0,0.0,99.36,9.0,0,0
0.541,18629.0,6.0,0.0,0.0,0.0,99.35,16.0,3,0
0.004,13154.0,2.0,0.0,0.0,0.0,98.08,11.0,1,0
0.376,21181.0,4.0,0.0,0.0,0.0,98.88,27.0,0,0
0.713,18257.0,1.0,0.0,1.0,0.0,98.43,12.0,0,0
0.019,13878.0,1.0,0.0,0.0,0.0,97.19,4.0,0,0
0.575,28478.0,1.0,0.0,0.0,0.0,99.51,6.0,0,1
0.034,27750.0,2.0,0.0,0.0,0.0,99.87,6.0,1,0
0.516,21184.0,3.0,0.0,0.0,0.0,99.54,8.0,0,0
0.095,16798.0,3.0,0.0,0.0,0.0,99.71,5.0,0,0
0.04,25565.0,1.0,1.0,0.0,0.0,99.41,9.0,0,1
0.21100000000000002,26660.0,1.0,0.0,0.0,0.0,99.1,12.0,1,1
0.305,28114.0,2.0,0.0,0.0,0.0,98.24,10.0,0,1
0.48700000000000004,25197.0,3.0,0.0,0.0,0.0,99.21,11.0,3,1
0.042,18625.0,2.0,0.0,0.0,0.0,99.31,8.0,0,0
0.005,28117.0,2.0,1.0,0.0,0.0,98.73,10.0,1,0
0.773,15338.0,4.0,1.0,1.0,0.0,99.58,9.0,2,1
0.239,21540.0,6.0,1.0,0.0,0.0,99.64,11.0,0,1
0.013000000000000001,14609.0,3.0,0.0,0.0,0.0,99.36,8.0,3,1
0.41200000000000003,16802.0,5.0,1.0,0.0,0.0,99.14,10.0,0,1
0.254,18990.0,6.0,1.0,0.0,0.0,99.4,13.0,1,1
0.221,19360.0,2.0,3.0,2.0,0.0,99.33,16.0,0,1
0.128,23740.0,2.0,0.0,0.0,0.0,99.17,16.0,0,0
0.053,19350.0,3.0,0.0,0.0,0.0,99.36,7.0,3,1
0.037000000000000005,26651.0,3.0,0.0,0.0,0.0,99.75,12.0,1,1
0.003,16798.0,2.0,0.0,0.0,0.0,98.89,20.0,1,1
0.501,13876.0,3.0,0.0,0.0,0.0,99.13,6.0,0,1
0.043,22637.0,2.0,0.0,0.0,0.0,99.07,11.0,1,1
0.031,19356.0,3.0,0.0,0.0,0.0,99.29,15.0,3,1
0.797,12784.0,1.0,2.0,1.0,1.0,99.89,10.0,3,1
0.055999999999999994,14242.0,3.0,0.0,0.0,0.0,99.69,6.0,2,0
0.032,12060.0,2.0,0.0,0.0,0.0,99.06,18.0,0,0
0.037000000000000005,10964.0,1.0,0.0,0.0,0.0,99.88,4.0,0,1
0.057,23006.0,3.0,0.0,0.0,0.0,99.35,10.0,0,1
0.026000000000000002,28842.0,2.0,0.0,0.0,0.0,99.89,5.0,0,0
0.1,22644.0,2.0,0.0,0.0,0.0,99.76,6.0,0,1
0.047,15344.0,6.0,0.0,0.0,0.0,99.35,16.0,0,0
0.023,18987.0,5.0,0.0,0.0,0.0,99.34,14.0,0,1
0.026000000000000002,24465.0,3.0,0.0,0.0,0.0,99.85,9.0,0,0
0.603,17161.0,2.0,2.0,0.0,0.0,99.01,12.0,1,1
0.027000000000000003,23000.0,3.0,0.0,0.0,0.0,99.71,8.0,0,0
0.01,24466.0,3.0,0.0,0.0,0.0,92.7,19.0,1,1
1.0,11685.0,1.0,1.0,0.0,0.0,99.22,3.0,0,1
0.017,26651.0,1.0,0.0,0.0,0.0,99.88,7.0,0,0
0.028999999999999998,21550.0,1.0,0.0,0.0,0.0,99.2,10.0,0,1
0.038,25196.0,3.0,0.0,0.0,0.0,99.33,22.0,1,0
0.7859999999999999,11328.0,1.0,0.0,0.0,0.0,99.62,4.0,2,0
0.09300000000000001,25191.0,4.0,0.0,0.0,0.0,98.41,13.0,0,1
0.0,19718.0,5.0,0.0,0.0,0.0,99.49,9.0,3,0
0.934,20086.0,6.0,0.0,0.0,0.0,99.18,10.0,1,1
0.2,9139.0,1.0,0.0,0.0,0.0,99.73,7.0,0,1
0.084,21176.0,6.0,0.0,0.0,0.0,99.1,12.0,1,1
0.027000000000000003,14974.0,2.0,0.0,0.0,0.0,98.32,10.0,0,0
0.252,17899.0,6.0,1.0,0.0,0.0,96.07,14.0,4,1
0.499,24099.0,1.0,2.0,1.0,1.0,97.66,15.0,2,0
0.665,24101.0,1.0,0.0,0.0,1.0,99.64,4.0,0,0
0.753,15710.0,3.0,4.0,2.0,0.0,98.74,18.0,0,1
0.387,10234.0,2.0,0.0,0.0,0.0,99.61,8.0,1,1
0.6970000000000001,15705.0,1.0,0.0,0.0,0.0,97.75,10.0,1,0
1.0,11690.0,3.0,0.0,0.0,0.0,98.985,2.0,0,1
0.509,22270.0,4.0,0.0,0.0,0.0,98.92,13.0,0,0
0.298,31401.0,1.0,0.0,0.0,0.0,99.51,11.0,0,0
0.018000000000000002,18995.0,2.0,0.0,0.0,0.0,99.25,16.0,2,0
0.642,25190.0,1.0,0.0,0.0,0.0,98.54,9.0,0,1
